project,repository,pull_path
bitrix24,bitrix24/docker-single-node,harbor.mgts.ru/bitrix24/docker-single-node
bitrix24,bitrix24/service-two-auth-sms,harbor.mgts.ru/bitrix24/service-two-auth-sms
bitrix24,bitrix24/push-server,harbor.mgts.ru/bitrix24/push-server
bitrix24,bitrix24/document-transformer,harbor.mgts.ru/bitrix24/document-transformer
ceodash,ceodash/frontend,harbor.mgts.ru/ceodash/frontend
ceodash,ceodash/api,harbor.mgts.ru/ceodash/api
dockerhub,dockerhub/dagster/dagster-k8s,harbor.mgts.ru/dockerhub/dagster/dagster-k8s
dockerhub,dockerhub/gpustack/gpustack,harbor.mgts.ru/dockerhub/gpustack/gpustack
dockerhub,dockerhub/bitnami/kubectl,harbor.mgts.ru/dockerhub/bitnami/kubectl
dockerhub,dockerhub/apache/kafka,harbor.mgts.ru/dockerhub/apache/kafka
dockerhub,dockerhub/stefanprodan/podinfo,harbor.mgts.ru/dockerhub/stefanprodan/podinfo
dockerhub,dockerhub/bitnami/nginx,harbor.mgts.ru/dockerhub/bitnami/nginx
dockerhub,dockerhub/pipelinecomponents/yamllint,harbor.mgts.ru/dockerhub/pipelinecomponents/yamllint
dockerhub,dockerhub/cytopia/yamllint,harbor.mgts.ru/dockerhub/cytopia/yamllint
dockerhub,dockerhub/library/haproxy,harbor.mgts.ru/dockerhub/library/haproxy
dockerhub,dockerhub/minio/mc,harbor.mgts.ru/dockerhub/minio/mc
dockerhub,dockerhub/amazon/aws-cli,harbor.mgts.ru/dockerhub/amazon/aws-cli
dockerhub,dockerhub/nicolaka/netshoot,harbor.mgts.ru/dockerhub/nicolaka/netshoot
dockerhub,dockerhub/valkey/valkey,harbor.mgts.ru/dockerhub/valkey/valkey
dockerhub,dockerhub/trinodb/trino,harbor.mgts.ru/dockerhub/trinodb/trino
dockerhub,dockerhub/infisical/infisical,harbor.mgts.ru/dockerhub/infisical/infisical
dockerhub,dockerhub/zabbix/zabbix-proxy-sqlite3,harbor.mgts.ru/dockerhub/zabbix/zabbix-proxy-sqlite3
dockerhub,dockerhub/grafana/alloy,harbor.mgts.ru/dockerhub/grafana/alloy
dockerhub,dockerhub/timberio/vector,harbor.mgts.ru/dockerhub/timberio/vector
dockerhub,dockerhub/prometheuscommunity/ipmi-exporter,harbor.mgts.ru/dockerhub/prometheuscommunity/ipmi-exporter
dockerhub,dockerhub/vllm/vllm-openai,harbor.mgts.ru/dockerhub/vllm/vllm-openai
dockerhub,dockerhub/strm/helloworld-http,harbor.mgts.ru/dockerhub/strm/helloworld-http
dockerhub,dockerhub/eugenmayer/jodconverter,harbor.mgts.ru/dockerhub/eugenmayer/jodconverter
dockerhub,dockerhub/library/busybox,harbor.mgts.ru/dockerhub/library/busybox
dockerhub,dockerhub/grafana/mimir,harbor.mgts.ru/dockerhub/grafana/mimir
dockerhub,dockerhub/grafana/grafana-image-renderer,harbor.mgts.ru/dockerhub/grafana/grafana-image-renderer
dockerhub,dockerhub/apache/airflow,harbor.mgts.ru/dockerhub/apache/airflow
dockerhub,dockerhub/prom/blackbox-exporter,harbor.mgts.ru/dockerhub/prom/blackbox-exporter
dockerhub,dockerhub/provectuslabs/kafka-ui,harbor.mgts.ru/dockerhub/provectuslabs/kafka-ui
dockerhub,dockerhub/flameshikari/outline-ru,harbor.mgts.ru/dockerhub/flameshikari/outline-ru
dockerhub,dockerhub/apache/seatunnel,harbor.mgts.ru/dockerhub/apache/seatunnel
dockerhub,dockerhub/debezium/debezium-ui,harbor.mgts.ru/dockerhub/debezium/debezium-ui
dockerhub,dockerhub/debezium/connect,harbor.mgts.ru/dockerhub/debezium/connect
dockerhub,dockerhub/infiniflow/infinity,harbor.mgts.ru/dockerhub/infiniflow/infinity
dockerhub,dockerhub/jc21/nginx-proxy-manager,harbor.mgts.ru/dockerhub/jc21/nginx-proxy-manager
dockerhub,dockerhub/minio/minio,harbor.mgts.ru/dockerhub/minio/minio
dockerhub,dockerhub/willfarrell/autoheal,harbor.mgts.ru/dockerhub/willfarrell/autoheal
dockerhub,dockerhub/openmetadata/db,harbor.mgts.ru/dockerhub/openmetadata/db
dockerhub,dockerhub/openmetadata/server,harbor.mgts.ru/dockerhub/openmetadata/server
dockerhub,dockerhub/acryldata/datahub-kafka-setup,harbor.mgts.ru/dockerhub/acryldata/datahub-kafka-setup
dockerhub,dockerhub/acryldata/datahub-actions,harbor.mgts.ru/dockerhub/acryldata/datahub-actions
dockerhub,dockerhub/library/elasticsearch,harbor.mgts.ru/dockerhub/library/elasticsearch
dockerhub,dockerhub/confluentinc/cp-schema-registry,harbor.mgts.ru/dockerhub/confluentinc/cp-schema-registry
dockerhub,dockerhub/library/mariadb,harbor.mgts.ru/dockerhub/library/mariadb
dockerhub,dockerhub/confluentinc/cp-zookeeper,harbor.mgts.ru/dockerhub/confluentinc/cp-zookeeper
dockerhub,dockerhub/ollama/ollama,harbor.mgts.ru/dockerhub/ollama/ollama
dockerhub,dockerhub/library/mysql,harbor.mgts.ru/dockerhub/library/mysql
dockerhub,dockerhub/confluentinc/cp-kafka,harbor.mgts.ru/dockerhub/confluentinc/cp-kafka
dockerhub,dockerhub/acryldata/datahub-frontend-react,harbor.mgts.ru/dockerhub/acryldata/datahub-frontend-react
dockerhub,dockerhub/acryldata/datahub-gms,harbor.mgts.ru/dockerhub/acryldata/datahub-gms
dockerhub,dockerhub/acryldata/datahub-upgrade,harbor.mgts.ru/dockerhub/acryldata/datahub-upgrade
dockerhub,dockerhub/acryldata/datahub-elasticsearch-setup,harbor.mgts.ru/dockerhub/acryldata/datahub-elasticsearch-setup
dockerhub,dockerhub/opensearchproject/opensearch,harbor.mgts.ru/dockerhub/opensearchproject/opensearch
dockerhub,dockerhub/acryldata/datahub-mysql-setup,harbor.mgts.ru/dockerhub/acryldata/datahub-mysql-setup
dockerhub,dockerhub/library/oraclelinux,harbor.mgts.ru/dockerhub/library/oraclelinux
dockerhub,dockerhub/semaphoreui/runner,harbor.mgts.ru/dockerhub/semaphoreui/runner
dockerhub,dockerhub/semaphoreui/semaphore,harbor.mgts.ru/dockerhub/semaphoreui/semaphore
dockerhub,dockerhub/library/docker,harbor.mgts.ru/dockerhub/library/docker
dockerhub,dockerhub/gitlab/gitlab-runner,harbor.mgts.ru/dockerhub/gitlab/gitlab-runner
dockerhub,dockerhub/gitlab/gitlab-runner-helper,harbor.mgts.ru/dockerhub/gitlab/gitlab-runner-helper
dockerhub,dockerhub/flannel/flannel-cni-plugin,harbor.mgts.ru/dockerhub/flannel/flannel-cni-plugin
dockerhub,dockerhub/flannel/flannel,harbor.mgts.ru/dockerhub/flannel/flannel
dockerhub,dockerhub/kubesphere/coredns,harbor.mgts.ru/dockerhub/kubesphere/coredns
dockerhub,dockerhub/kubesphere/kube-scheduler,harbor.mgts.ru/dockerhub/kubesphere/kube-scheduler
dockerhub,dockerhub/kubesphere/etcd,harbor.mgts.ru/dockerhub/kubesphere/etcd
dockerhub,dockerhub/kubesphere/pause,harbor.mgts.ru/dockerhub/kubesphere/pause
